iter,add_correct,add_total,sub_correct,sub_total,math_acc,facts_correct,facts_total,facts_acc,train_loss,val_loss
0,0,910,0,910,0.0,0,500,0.0,4.197667121887207,4.197673320770264
250,0,910,0,910,0.0,0,500,0.0,2.6630699634552,2.666551113128662
500,10,910,90,910,0.0549450549450549,0,500,0.0,1.4334006309509275,1.4315468072891235
750,10,910,81,910,0.05,0,500,0.0,1.2457623481750488,1.2434570789337158
1000,80,910,68,910,0.0813186813186813,0,500,0.0,1.1542130708694458,1.1558746099472046
1250,148,910,114,910,0.1439560439560439,0,500,0.0,1.0871158838272097,1.0873829126358032
1500,155,910,152,910,0.1686813186813187,0,500,0.0,1.0606684684753418,1.0618889331817627
1750,125,910,166,910,0.1598901098901098,0,500,0.0,0.9795355200767516,0.9791473150253296
2000,107,910,104,910,0.1159340659340659,0,500,0.0,0.9839423298835754,0.982728898525238
2250,138,910,126,910,0.145054945054945,0,500,0.0,0.9526872038841248,0.9523209929466248
2500,180,910,174,910,0.1945054945054945,0,500,0.0,0.9247726202011108,0.925501585006714
2750,114,910,183,910,0.1631868131868132,0,500,0.0,0.917926013469696,0.9179109930992126
3000,167,910,219,910,0.212087912087912,0,500,0.0,0.9042465090751648,0.904506504535675
3250,107,910,161,910,0.1472527472527472,0,500,0.0,0.8909952044487,0.8915424346923828
3500,140,910,187,910,0.1796703296703296,10,500,0.02,0.8946292400360107,0.8931089639663696
3750,62,910,137,910,0.1093406593406593,0,500,0.0,0.9008876085281372,0.8999804854393005
4000,107,910,193,910,0.1648351648351648,0,500,0.0,0.8807081580162048,0.8822900652885437
4250,140,910,185,910,0.1785714285714285,5,500,0.01,0.8665463924407959,0.8665461540222168
4500,97,910,178,910,0.1510989010989011,0,500,0.0,0.8723809719085693,0.8712940812110901
4750,183,910,208,910,0.2148351648351648,0,500,0.0,0.8709555864334106,0.870520830154419
5000,156,910,230,910,0.212087912087912,0,500,0.0,0.8626062273979187,0.8638464212417603
5250,181,910,270,910,0.2478021978021978,0,500,0.0,0.8519665598869324,0.8529673218727112
5500,157,910,246,910,0.2214285714285714,0,500,0.0,0.8529605269432068,0.8531663417816162
5750,183,910,278,910,0.2532967032967033,4,500,0.008,0.855397641658783,0.856638491153717
6000,91,910,258,910,0.1917582417582417,10,500,0.02,0.8479641675949097,0.8473016619682312
6250,162,910,209,910,0.2038461538461538,12,500,0.024,0.8533340692520142,0.8526073694229126
6500,111,910,274,910,0.2115384615384615,6,500,0.012,0.8409121036529541,0.8402637243270874
6750,137,910,271,910,0.2241758241758241,0,500,0.0,0.8423260450363159,0.8436140418052673
7000,153,910,271,910,0.2329670329670329,20,500,0.04,0.8437173366546631,0.8435515761375427
7250,165,910,293,910,0.2516483516483516,4,500,0.008,0.8437431454658508,0.8423243761062622
7500,195,910,271,910,0.256043956043956,14,500,0.028,0.8351927399635315,0.8360224962234497
7750,164,910,281,910,0.2445054945054945,4,500,0.008,0.8319972157478333,0.8318108916282654
8000,128,910,256,910,0.210989010989011,13,500,0.026,0.8352035284042358,0.8350216746330261
8250,170,910,304,910,0.2604395604395604,15,500,0.03,0.8307468295097351,0.8312851786613464
8500,216,910,267,910,0.2653846153846154,20,500,0.04,0.8404933214187622,0.841356635093689
8750,187,910,239,910,0.234065934065934,10,500,0.02,0.8361907005310059,0.8375341296195984
9000,150,910,277,910,0.2346153846153846,10,500,0.02,0.8238468766212463,0.8250100612640381
9250,157,910,238,910,0.217032967032967,0,500,0.0,0.8276453614234924,0.8270429968833923
9500,166,910,269,910,0.239010989010989,10,500,0.02,0.8290600776672363,0.8281465172767639
9750,196,910,286,910,0.2648351648351648,20,500,0.04,0.8178337216377258,0.8182312846183777
10000,162,910,296,910,0.2516483516483516,16,500,0.032,0.8212785124778748,0.8227975368499756
10250,250,910,280,910,0.2912087912087912,10,500,0.02,0.8220459818840027,0.824351966381073
10500,181,910,285,910,0.256043956043956,10,500,0.02,0.8222290873527527,0.8202211260795593
10750,202,910,337,910,0.2961538461538461,10,500,0.02,0.8228680491447449,0.8249549865722656
11000,216,910,300,910,0.2835164835164835,10,500,0.02,0.8195306658744812,0.8217317461967468
11250,181,910,262,910,0.2434065934065934,10,500,0.02,0.8248132467269897,0.825640082359314
11500,263,910,292,910,0.3049450549450549,10,500,0.02,0.8151812553405762,0.813356876373291
11750,213,910,337,910,0.3021978021978022,16,500,0.032,0.8181658983230591,0.8192955255508423
12000,225,910,297,910,0.2868131868131868,10,500,0.02,0.8148390054702759,0.8135608434677124
12250,262,910,239,910,0.2752747252747253,10,500,0.02,0.8184115886688232,0.8189847469329834
12500,216,910,310,910,0.289010989010989,10,500,0.02,0.8079891800880432,0.8082756996154785
12750,222,910,313,910,0.2939560439560439,23,500,0.046,0.8143708109855652,0.8131033182144165
13000,225,910,260,910,0.2664835164835165,10,500,0.02,0.8111453056335449,0.8125686049461365
13250,176,910,255,910,0.2368131868131868,10,500,0.02,0.8117914795875549,0.8123036026954651
13500,198,910,309,910,0.2785714285714286,10,500,0.02,0.8078621625900269,0.8078962564468384
13750,123,910,246,910,0.2027472527472527,10,500,0.02,0.8082070350646973,0.8093070983886719
14000,207,910,282,910,0.2686813186813186,10,500,0.02,0.8102731108665466,0.8090229034423828
14250,227,910,296,910,0.2873626373626373,10,500,0.02,0.8076125979423523,0.8073884844779968
14500,259,910,337,910,0.3274725274725275,10,500,0.02,0.8041990399360657,0.8049888610839844
14750,237,910,285,910,0.2868131868131868,10,500,0.02,0.7991302013397217,0.8013088703155518
15000,282,910,317,910,0.3291208791208791,20,500,0.04,0.7973219156265259,0.7988889813423157
15250,243,910,309,910,0.3032967032967033,10,500,0.02,0.8016720414161682,0.8006930351257324
15500,243,910,272,910,0.2829670329670329,0,500,0.0,0.8038730025291443,0.8058269619941711
15750,193,910,287,910,0.2637362637362637,10,500,0.02,0.7989609241485596,0.8005108833312988
16000,204,910,328,910,0.2923076923076923,10,500,0.02,0.8014870285987854,0.8019716143608093
16250,229,910,273,910,0.2758241758241758,10,500,0.02,0.7959535717964172,0.796083390712738
16500,197,910,230,910,0.2346153846153846,18,500,0.036,0.8031631708145142,0.8046920895576477
16750,252,910,324,910,0.3164835164835164,10,500,0.02,0.7985008358955383,0.7962992787361145
17000,223,910,235,910,0.2516483516483516,10,500,0.02,0.7992194294929504,0.7990104556083679
17250,277,910,322,910,0.3291208791208791,10,500,0.02,0.7941944003105164,0.7938246726989746
17500,207,910,287,910,0.2714285714285714,10,500,0.02,0.7940390706062317,0.7913144826889038
17750,235,910,299,910,0.2934065934065934,10,500,0.02,0.7950693368911743,0.7944334149360657
18000,236,910,285,910,0.2862637362637362,10,500,0.02,0.7932583689689636,0.7947585582733154
18250,295,910,320,910,0.3379120879120879,10,500,0.02,0.7912925481796265,0.7886069416999817
18500,266,910,332,910,0.3285714285714285,10,500,0.02,0.7931621074676514,0.7936044931411743
18750,273,910,316,910,0.3236263736263736,15,500,0.03,0.7926283478736877,0.7915136814117432
19000,236,910,314,910,0.3021978021978022,20,500,0.04,0.7923904657363892,0.7947271466255188
19250,243,910,329,910,0.3142857142857143,14,500,0.028,0.7895678877830505,0.7892292737960815
19500,270,910,260,910,0.2912087912087912,10,500,0.02,0.7907741665840149,0.7903017401695251
19750,278,910,253,910,0.2917582417582418,10,500,0.02,0.7893360257148743,0.7873281240463257
20000,258,910,283,910,0.2972527472527472,10,500,0.02,0.791302502155304,0.7923890948295593
20250,231,910,264,910,0.2719780219780219,15,500,0.03,0.787972629070282,0.7884968519210815
20500,268,910,324,910,0.3252747252747253,12,500,0.024,0.7862749695777893,0.785767138004303
20750,260,910,319,910,0.3181318681318681,15,500,0.03,0.7829360365867615,0.7840741872787476
21000,264,910,284,910,0.3010989010989011,10,500,0.02,0.7871838212013245,0.7869460582733154
21250,290,910,310,910,0.3296703296703296,10,500,0.02,0.7856702208518982,0.786335825920105
21500,284,910,334,910,0.3395604395604396,14,500,0.028,0.7851203680038452,0.7839919328689575
21750,279,910,316,910,0.3269230769230769,17,500,0.034,0.7846282720565796,0.7842284440994263
22000,288,910,303,910,0.3247252747252747,10,500,0.02,0.7853150963783264,0.7841023802757263
22250,305,910,328,910,0.3478021978021978,10,500,0.02,0.7842016816139221,0.7850099802017212
22500,302,910,311,910,0.3368131868131868,10,500,0.02,0.7836273312568665,0.783684492111206
22750,290,910,318,910,0.334065934065934,15,500,0.03,0.7819306254386902,0.7833343744277954
23000,293,910,312,910,0.3324175824175824,15,500,0.03,0.7830069065093994,0.7825605273246765
23250,313,910,319,910,0.3472527472527472,10,500,0.02,0.7815088033676147,0.7812398672103882
23500,270,910,311,910,0.3192307692307692,20,500,0.04,0.783560037612915,0.7824958562850952
23750,288,910,330,910,0.3395604395604396,10,500,0.02,0.7813541293144226,0.7801028490066528
24000,261,910,369,910,0.3461538461538461,18,500,0.036,0.7816883325576782,0.7815353274345398
24250,277,910,318,910,0.3269230769230769,12,500,0.024,0.7827560901641846,0.7804636359214783
24500,292,910,323,910,0.3379120879120879,10,500,0.02,0.7821454405784607,0.7810149192810059
24750,284,910,325,910,0.3346153846153846,10,500,0.02,0.7806077599525452,0.7814755439758301
25000,294,910,317,910,0.3357142857142857,10,500,0.02,0.7821272015571594,0.7805360555648804
25250,300,910,307,910,0.3335164835164835,10,500,0.02,0.7807436585426331,0.7817010283470154
25500,308,910,339,910,0.3554945054945055,10,500,0.02,0.7808091044425964,0.7807058691978455
25750,295,910,317,910,0.3362637362637363,14,500,0.028,0.7810589075088501,0.7820388674736023
26000,291,910,344,910,0.3489010989010989,10,500,0.02,0.781584620475769,0.780625581741333
26250,253,910,333,910,0.321978021978022,10,500,0.02,0.7795496582984924,0.778673529624939
26500,289,910,343,910,0.3472527472527472,10,500,0.02,0.7814638018608093,0.7810533046722412
