iter,add_correct,add_total,sub_correct,sub_total,math_acc,facts_correct,facts_total,facts_acc,train_loss,val_loss
0,0,910,0,910,0.0,0,500,0.0,4.197667121887207,4.197673320770264
250,0,910,0,910,0.0,0,500,0.0,2.6692655086517334,2.6727406978607178
500,10,910,90,910,0.0549450549450549,0,500,0.0,1.4267367124557495,1.4249974489212036
750,10,910,92,910,0.056043956043956,0,500,0.0,1.245517373085022,1.2432646751403809
1000,86,910,86,910,0.0945054945054945,0,500,0.0,1.1257412433624268,1.1273012161254885
1250,116,910,149,910,0.1456043956043956,0,500,0.0,1.058487057685852,1.0587092638015747
1500,160,910,134,910,0.1615384615384615,0,500,0.0,1.0083614587783811,1.009204983711243
1750,132,910,131,910,0.1445054945054945,0,500,0.0,0.962758481502533,0.962843418121338
2000,81,910,157,910,0.1307692307692307,0,500,0.0,0.9613377451896667,0.9617132544517516
2250,168,910,100,910,0.1472527472527472,0,500,0.0,0.9372201561927797,0.9369037747383118
2500,135,910,119,910,0.1395604395604395,0,500,0.0,0.9167542457580566,0.9187951683998108
2750,93,910,121,910,0.1175824175824175,0,500,0.0,0.9291706085205078,0.928868532180786
3000,180,910,119,910,0.1642857142857142,7,500,0.014,0.9125534892082214,0.9116777181625366
3250,203,910,141,910,0.189010989010989,0,500,0.0,0.899911642074585,0.9008917212486268
3500,226,910,122,910,0.1912087912087912,0,500,0.0,0.8946731686592102,0.8923277258872986
3750,189,910,107,910,0.1626373626373626,0,500,0.0,0.8881582617759705,0.8873574733734131
4000,163,910,111,910,0.1505494505494505,0,500,0.0,0.8875569105148315,0.8889069557189941
4250,145,910,133,910,0.1527472527472527,0,500,0.0,0.8828901648521423,0.8833809494972229
4500,175,910,111,910,0.1571428571428571,0,500,0.0,0.8667910695075989,0.8661541938781738
4750,157,910,115,910,0.1494505494505494,10,500,0.02,0.8658283352851868,0.8657673597335815
5000,149,910,84,910,0.128021978021978,10,500,0.02,0.8871626853942871,0.8884865045547485
5250,148,910,121,910,0.1478021978021978,10,500,0.02,0.8604943156242371,0.8611810803413391
5500,168,910,133,910,0.1653846153846153,2,500,0.004,0.8557174205780029,0.8559558391571045
5750,174,910,134,910,0.1692307692307692,0,500,0.0,0.8524022102355957,0.8530564308166504
6000,172,910,138,910,0.1703296703296703,0,500,0.0,0.8586918711662292,0.8568987250328064
6250,189,910,100,910,0.1587912087912087,13,500,0.026,0.8534948825836182,0.852928102016449
6500,184,910,114,910,0.1637362637362637,20,500,0.04,0.8473118543624878,0.8481559753417969
6750,135,910,187,910,0.1769230769230769,14,500,0.028,0.8580093383789062,0.8586668372154236
7000,180,910,166,910,0.1901098901098901,24,500,0.048,0.8344573974609375,0.8335511684417725
7250,133,910,134,910,0.1467032967032967,10,500,0.02,0.8540911078453064,0.8529291749000549
7500,163,910,137,910,0.1648351648351648,10,500,0.02,0.8602703809738159,0.8622133135795593
7750,163,910,177,910,0.1868131868131868,0,500,0.0,0.8489816188812256,0.8484660983085632
8000,152,910,155,910,0.1686813186813187,16,500,0.032,0.8338825106620789,0.8331959247589111
8250,186,910,131,910,0.1741758241758241,15,500,0.03,0.8330934047698975,0.8323445320129395
8500,106,910,125,910,0.1269230769230769,0,500,0.0,0.845150887966156,0.8442293405532837
8750,166,910,188,910,0.1945054945054945,10,500,0.02,0.8353279829025269,0.8347495794296265
9000,219,910,190,910,0.2247252747252747,6,500,0.012,0.8173650503158569,0.8171043992042542
9250,194,910,186,910,0.2087912087912088,0,500,0.0,0.8253732323646545,0.8254168629646301
9500,73,910,155,910,0.1252747252747252,3,500,0.006,0.8319239616394043,0.8319223523139954
9750,150,910,190,910,0.1868131868131868,0,500,0.0,0.8236267566680908,0.8236931562423706
10000,70,910,201,910,0.1489010989010989,0,500,0.0,0.82405686378479,0.8252410888671875
10250,117,910,152,910,0.1478021978021978,2,500,0.004,0.818531334400177,0.8197108507156372
10500,160,910,154,910,0.1725274725274725,10,500,0.02,0.8258833289146423,0.8233476281166077
10750,104,910,169,910,0.15,0,500,0.0,0.8397175669670105,0.8410898447036743
11000,162,910,183,910,0.1895604395604395,10,500,0.02,0.82289719581604,0.824455738067627
11250,196,910,104,910,0.1648351648351648,0,500,0.0,0.8056420683860779,0.8071730136871338
11500,216,910,166,910,0.2098901098901099,10,500,0.02,0.8161509037017822,0.8154541850090027
11750,207,910,164,910,0.2038461538461538,7,500,0.014,0.8079392910003662,0.8077144026756287
12000,61,910,144,910,0.1126373626373626,10,500,0.02,0.811082661151886,0.8095051646232605
12250,153,910,160,910,0.1719780219780219,10,500,0.02,0.8084510564804077,0.8085687160491943
12500,184,910,138,910,0.1769230769230769,10,500,0.02,0.7984440326690674,0.7991998195648193
12750,170,910,179,910,0.1917582417582417,1,500,0.002,0.8137139081954956,0.8137177228927612
13000,188,910,215,910,0.2214285714285714,0,500,0.0,0.8087099194526672,0.8098995089530945
13250,195,910,186,910,0.2093406593406593,4,500,0.008,0.8261406421661377,0.8266555070877075
13500,141,910,136,910,0.1521978021978021,0,500,0.0,0.800717830657959,0.8017188310623169
13750,176,910,148,910,0.178021978021978,16,500,0.032,0.7928131222724915,0.7947270274162292
14000,101,910,157,910,0.1417582417582417,0,500,0.0,0.7973354458808899,0.7962584495544434
14250,181,910,183,910,0.2,0,500,0.0,0.7891192436218262,0.7901611328125
14500,177,910,203,910,0.2087912087912088,0,500,0.0,0.7946953773498535,0.7939510941505432
14750,157,910,211,910,0.2021978021978022,15,500,0.03,0.784210205078125,0.782960057258606
15000,198,910,205,910,0.2214285714285714,20,500,0.04,0.794358491897583,0.7943565249443054
15250,238,910,182,910,0.2307692307692307,10,500,0.02,0.7796093821525574,0.7800328731536865
15500,148,910,231,910,0.2082417582417582,0,500,0.0,0.788749098777771,0.7888399362564087
15750,155,910,198,910,0.1939560439560439,10,500,0.02,0.779839038848877,0.7826699018478394
16000,222,910,175,910,0.2181318681318681,10,500,0.02,0.782462477684021,0.7825314402580261
