iter,add_correct,add_total,sub_correct,sub_total,math_acc,facts_correct,facts_total,facts_acc,train_loss,val_loss
0,0,0,0,0,0.0,0,500,0.0,3.9291937351226807,3.929254055023194
250,0,0,0,0,0.0,0,500,0.0,2.802677631378174,2.8025708198547363
500,0,0,0,0,0.0,0,500,0.0,1.56441330909729,1.5647530555725098
750,0,0,0,0,0.0,0,500,0.0,1.260156512260437,1.260527729988098
1000,0,0,0,0,0.0,0,500,0.0,1.1281447410583496,1.130753993988037
1250,0,0,0,0,0.0,0,500,0.0,1.0502570867538452,1.0494691133499146
1500,0,0,0,0,0.0,0,500,0.0,0.9853183031082152,0.986115574836731
1750,0,0,0,0,0.0,0,500,0.0,0.9527071118354796,0.9533923864364624
2000,0,0,0,0,0.0,0,500,0.0,0.930172324180603,0.9329657554626464
2250,0,0,0,0,0.0,0,500,0.0,0.8989614844322205,0.8981801867485046
2500,0,0,0,0,0.0,0,500,0.0,0.8754286170005798,0.8745328783988953
2750,0,0,0,0,0.0,0,500,0.0,0.8614811897277832,0.8591976165771484
3000,0,0,0,0,0.0,0,500,0.0,0.8417481780052185,0.8410519361495972
3250,0,0,0,0,0.0,0,500,0.0,0.8227394819259644,0.8250386714935303
3500,0,0,0,0,0.0,0,500,0.0,0.8216596841812134,0.8212921619415283
3750,0,0,0,0,0.0,0,500,0.0,0.8241693377494812,0.8220464587211609
4000,0,0,0,0,0.0,10,500,0.02,0.8062747120857239,0.8072447180747986
4250,0,0,0,0,0.0,0,500,0.0,0.7951232194900513,0.795619785785675
4500,0,0,0,0,0.0,0,500,0.0,0.7965942621231079,0.7990196347236633
4750,0,0,0,0,0.0,0,500,0.0,0.7827995419502258,0.7845678925514221
5000,0,0,0,0,0.0,0,500,0.0,0.7616102695465088,0.7615780830383301
5250,0,0,0,0,0.0,0,500,0.0,0.7596652507781982,0.7601255774497986
5500,0,0,0,0,0.0,0,500,0.0,0.7508739233016968,0.7511049509048462
5750,0,0,0,0,0.0,0,500,0.0,0.7642543911933899,0.7621549367904663
6000,0,0,0,0,0.0,0,500,0.0,0.7429552674293518,0.7447154521942139
6250,0,0,0,0,0.0,0,500,0.0,0.7389905452728271,0.7377220392227173
6500,0,0,0,0,0.0,0,500,0.0,0.7333257794380188,0.7368372082710266
6750,0,0,0,0,0.0,10,500,0.02,0.7366307973861694,0.7392058372497559
7000,0,0,0,0,0.0,0,500,0.0,0.7345319986343384,0.7321327328681946
7250,0,0,0,0,0.0,5,500,0.01,0.727986216545105,0.7258073687553406
7500,0,0,0,0,0.0,14,500,0.028,0.7259265780448914,0.7255845069885254
7750,0,0,0,0,0.0,26,500,0.052,0.720395565032959,0.7206992506980896
8000,0,0,0,0,0.0,11,500,0.022,0.7322672009468079,0.731306791305542
8250,0,0,0,0,0.0,14,500,0.028,0.7191714644432068,0.7189660668373108
8500,0,0,0,0,0.0,0,500,0.0,0.7261624336242676,0.7243646383285522
8750,0,0,0,0,0.0,0,500,0.0,0.7128279805183411,0.7121879458427429
9000,0,0,0,0,0.0,3,500,0.006,0.7095048427581787,0.7088059186935425
9250,0,0,0,0,0.0,0,500,0.0,0.7200242877006531,0.7221806049346924
9500,0,0,0,0,0.0,20,500,0.04,0.7113986015319824,0.7122318744659424
9750,0,0,0,0,0.0,20,500,0.04,0.7031993269920349,0.7044792771339417
10000,0,0,0,0,0.0,0,500,0.0,0.7089317440986633,0.7094100713729858
10250,0,0,0,0,0.0,0,500,0.0,0.6877795457839966,0.6881051659584045
