iter,add_correct,add_total,sub_correct,sub_total,math_acc,facts_correct,facts_total,facts_acc,train_loss,val_loss
0,0,0,0,0,0.0,0,500,0.0,3.95713472366333,3.95732045173645
250,0,0,0,0,0.0,0,500,0.0,1.9702845811843872,1.9703872203826904
500,0,0,0,0,0.0,0,500,0.0,1.02486252784729,1.02706778049469
750,0,0,0,0,0.0,26,500,0.052,0.6550529599189758,0.6545907855033875
1000,0,0,0,0,0.0,112,500,0.224,0.4770025312900543,0.4779212176799774
1250,0,0,0,0,0.0,240,500,0.48,0.4023776948451996,0.3996360898017883
1500,0,0,0,0,0.0,324,500,0.648,0.3689692318439483,0.368183821439743
1750,0,0,0,0,0.0,354,500,0.708,0.3444059491157532,0.3447182178497314
2000,0,0,0,0,0.0,331,500,0.662,0.339368462562561,0.338817149400711
2250,0,0,0,0,0.0,454,500,0.908,0.3097324669361114,0.3095172643661499
2500,0,0,0,0,0.0,420,500,0.84,0.3007688522338867,0.3014729619026184
2750,0,0,0,0,0.0,435,500,0.87,0.2980977296829223,0.2988434731960296
3000,0,0,0,0,0.0,430,500,0.86,0.2937512695789337,0.2935489416122436
3250,0,0,0,0,0.0,437,500,0.874,0.2901944816112518,0.2908247113227844
3500,0,0,0,0,0.0,466,500,0.932,0.2871589958667755,0.2868859469890594
3750,0,0,0,0,0.0,450,500,0.9,0.2780364155769348,0.2780413329601288
4000,0,0,0,0,0.0,440,500,0.88,0.2811063528060913,0.2819548547267914
4250,0,0,0,0,0.0,439,500,0.878,0.2747507393360138,0.2751320004463196
4500,0,0,0,0,0.0,450,500,0.9,0.2757179737091064,0.2763190269470215
4750,0,0,0,0,0.0,420,500,0.84,0.2778209745883941,0.2781931459903717
5000,0,0,0,0,0.0,466,500,0.932,0.2755290269851684,0.2754201591014862
5250,0,0,0,0,0.0,460,500,0.92,0.2652671337127685,0.2657085657119751
5500,0,0,0,0,0.0,460,500,0.92,0.2642766833305359,0.2643099427223205
5750,0,0,0,0,0.0,470,500,0.94,0.2685372233390808,0.2685734927654266
6000,0,0,0,0,0.0,440,500,0.88,0.2697299122810364,0.2694474458694458
6250,0,0,0,0,0.0,480,500,0.96,0.2607713937759399,0.2606816589832306
6500,0,0,0,0,0.0,490,500,0.98,0.2586987912654876,0.2579850256443023
6750,0,0,0,0,0.0,465,500,0.93,0.2594941556453705,0.2598114311695099
7000,0,0,0,0,0.0,470,500,0.94,0.2603491544723511,0.2611339688301086
7250,0,0,0,0,0.0,475,500,0.95,0.2586621344089508,0.2584116458892822
7500,0,0,0,0,0.0,490,500,0.98,0.2561608850955963,0.2561757564544678
7750,0,0,0,0,0.0,485,500,0.97,0.2543096542358398,0.2548581957817077
8000,0,0,0,0,0.0,480,500,0.96,0.2574186027050018,0.2573267817497253
8250,0,0,0,0,0.0,500,500,1.0,0.2533606588840484,0.2533827722072601
8500,0,0,0,0,0.0,491,500,0.982,0.2531042098999023,0.2530666589736938
8750,0,0,0,0,0.0,483,500,0.966,0.2516551911830902,0.2517125010490417
9000,0,0,0,0,0.0,490,500,0.98,0.252269834280014,0.2519580125808716
9250,0,0,0,0,0.0,491,500,0.982,0.2524374127388,0.2523001432418823
9500,0,0,0,0,0.0,490,500,0.98,0.2487625181674957,0.2486951798200607
9750,0,0,0,0,0.0,500,500,1.0,0.2508698999881744,0.2501254379749298
10000,0,0,0,0,0.0,492,500,0.984,0.2483144998550415,0.2494519799947738
10250,0,0,0,0,0.0,490,500,0.98,0.2519010603427887,0.2515059411525726
10500,0,0,0,0,0.0,497,500,0.994,0.2492704838514328,0.2498707622289657
10750,0,0,0,0,0.0,490,500,0.98,0.2452964633703231,0.2454549670219421
11000,0,0,0,0,0.0,490,500,0.98,0.2494600266218185,0.2491986155509948
11250,0,0,0,0,0.0,495,500,0.99,0.2468062937259674,0.2464403659105301
11500,0,0,0,0,0.0,500,500,1.0,0.2480944842100143,0.2479438036680221
11750,0,0,0,0,0.0,470,500,0.94,0.24725441634655,0.2475057393312454
12000,0,0,0,0,0.0,494,500,0.988,0.2449943572282791,0.2455920279026031
12250,0,0,0,0,0.0,500,500,1.0,0.2447963207960128,0.2451323866844177
12500,0,0,0,0,0.0,490,500,0.98,0.2454816401004791,0.2449496239423751
12750,0,0,0,0,0.0,500,500,1.0,0.2440776824951172,0.2438647896051406
13000,0,0,0,0,0.0,500,500,1.0,0.2436221837997436,0.2421215027570724
13250,0,0,0,0,0.0,500,500,1.0,0.2438626438379287,0.2432368397712707
13500,0,0,0,0,0.0,500,500,1.0,0.2438957244157791,0.243913397192955
13750,0,0,0,0,0.0,500,500,1.0,0.2416461110115051,0.2420067638158798
14000,0,0,0,0,0.0,500,500,1.0,0.2417844533920288,0.241422638297081
14250,0,0,0,0,0.0,500,500,1.0,0.2393645048141479,0.2399020344018936
14500,0,0,0,0,0.0,500,500,1.0,0.240590438246727,0.2407941818237304
14750,0,0,0,0,0.0,500,500,1.0,0.2396281063556671,0.2403021454811096
15000,0,0,0,0,0.0,500,500,1.0,0.2400488704442978,0.2401098310947418
15250,0,0,0,0,0.0,500,500,1.0,0.239625409245491,0.2396976798772812
15500,0,0,0,0,0.0,500,500,1.0,0.2390182316303253,0.2393158972263336
15750,0,0,0,0,0.0,500,500,1.0,0.2388955056667328,0.2384018152952194
16000,0,0,0,0,0.0,500,500,1.0,0.2381240278482437,0.2382591664791107
16250,0,0,0,0,0.0,500,500,1.0,0.2369555979967117,0.237428143620491
16500,0,0,0,0,0.0,500,500,1.0,0.2380687147378921,0.238321304321289
16750,0,0,0,0,0.0,500,500,1.0,0.2365114539861679,0.2367980927228927
17000,0,0,0,0,0.0,500,500,1.0,0.2364722192287445,0.2360830754041671
17250,0,0,0,0,0.0,500,500,1.0,0.235839769244194,0.2362396419048309
17500,0,0,0,0,0.0,500,500,1.0,0.2360416948795318,0.2355724722146988
17750,0,0,0,0,0.0,500,500,1.0,0.235334888100624,0.2351561486721038
18000,0,0,0,0,0.0,500,500,1.0,0.2362469881772995,0.2361960858106613
18250,0,0,0,0,0.0,500,500,1.0,0.235715165734291,0.2358091175556183
18500,0,0,0,0,0.0,500,500,1.0,0.2339110225439071,0.2334196716547012
18750,0,0,0,0,0.0,500,500,1.0,0.2340866029262542,0.2346573024988174
19000,0,0,0,0,0.0,500,500,1.0,0.2333337962627411,0.2325939238071441
19250,0,0,0,0,0.0,500,500,1.0,0.234252318739891,0.2336252629756927
19500,0,0,0,0,0.0,500,500,1.0,0.2334939539432525,0.2332109063863754
19750,0,0,0,0,0.0,500,500,1.0,0.2328016608953476,0.2331572324037552
20000,0,0,0,0,0.0,500,500,1.0,0.2322519719600677,0.232262834906578
20250,0,0,0,0,0.0,500,500,1.0,0.2314802706241607,0.2317324131727218
20500,0,0,0,0,0.0,500,500,1.0,0.2319885492324829,0.2321384996175766
20750,0,0,0,0,0.0,500,500,1.0,0.2326313853263855,0.2317731529474258
21000,0,0,0,0,0.0,500,500,1.0,0.2314611822366714,0.2310189306735992
21250,0,0,0,0,0.0,500,500,1.0,0.2321308255195617,0.2319116592407226
21500,0,0,0,0,0.0,500,500,1.0,0.2307750582695007,0.2309955954551696
21750,0,0,0,0,0.0,500,500,1.0,0.2302743941545486,0.230167344212532
22000,0,0,0,0,0.0,500,500,1.0,0.2303293943405151,0.230328693985939
22250,0,0,0,0,0.0,500,500,1.0,0.2301324903964996,0.2299090176820755
22500,0,0,0,0,0.0,500,500,1.0,0.2303889989852905,0.2298067510128021
22750,0,0,0,0,0.0,500,500,1.0,0.2305110394954681,0.2299468219280243
23000,0,0,0,0,0.0,500,500,1.0,0.2289761304855346,0.2297983765602111
23250,0,0,0,0,0.0,500,500,1.0,0.2299339920282364,0.2298645079135894
23500,0,0,0,0,0.0,500,500,1.0,0.2294551134109497,0.2293528318405151
23750,0,0,0,0,0.0,500,500,1.0,0.2289628833532333,0.2292381227016449
24000,0,0,0,0,0.0,500,500,1.0,0.2289271354675293,0.2290355563163757
24250,0,0,0,0,0.0,500,500,1.0,0.2291994541883468,0.2292838543653488
24500,0,0,0,0,0.0,500,500,1.0,0.2291727811098098,0.2292207777500152
24750,0,0,0,0,0.0,500,500,1.0,0.2287508845329284,0.2284769862890243
25000,0,0,0,0,0.0,500,500,1.0,0.2286353260278701,0.2291983217000961
25250,0,0,0,0,0.0,500,500,1.0,0.2290332168340683,0.2281829416751861
25500,0,0,0,0,0.0,500,500,1.0,0.2284630537033081,0.2290875613689422
25750,0,0,0,0,0.0,500,500,1.0,0.22883340716362,0.2285616546869278
26000,0,0,0,0,0.0,500,500,1.0,0.2294588983058929,0.2293636202812194
26250,0,0,0,0,0.0,500,500,1.0,0.2294396609067917,0.2285953015089035
26500,0,0,0,0,0.0,500,500,1.0,0.2290680259466171,0.228999525308609
26750,0,0,0,0,0.0,500,500,1.0,0.228400245308876,0.229118600487709
27000,0,0,0,0,0.0,500,500,1.0,0.2290741354227066,0.2287140637636184
27250,0,0,0,0,0.0,500,500,1.0,0.2288541197776794,0.2289258539676666
27500,0,0,0,0,0.0,500,500,1.0,0.2291030883789062,0.2281311750411987
27750,0,0,0,0,0.0,500,500,1.0,0.2291091531515121,0.2291130572557449
28000,0,0,0,0,0.0,500,500,1.0,0.2282105982303619,0.2285375595092773
28250,0,0,0,0,0.0,500,500,1.0,0.2292059063911438,0.2293182611465454
28500,0,0,0,0,0.0,500,500,1.0,0.2294622957706451,0.2288101315498352
28750,0,0,0,0,0.0,500,500,1.0,0.2287235856056213,0.2281256914138794
29000,0,0,0,0,0.0,500,500,1.0,0.2284477204084396,0.2282293140888214
29250,0,0,0,0,0.0,500,500,1.0,0.2290328592061996,0.228909894824028
29500,0,0,0,0,0.0,500,500,1.0,0.2287787795066833,0.2284922748804092
29750,0,0,0,0,0.0,500,500,1.0,0.2286567687988281,0.2286152988672256
30000,0,0,0,0,0.0,500,500,1.0,0.2282869666814804,0.22895470261573792
