iter,add_correct,add_total,sub_correct,sub_total,math_acc,facts_correct,facts_total,facts_acc,train_loss,val_loss
0,0,0,0,0,0.0,0,500,0.0,4.078258037567139,4.078103542327881
250,0,0,0,0,0.0,0,500,0.0,2.4011499881744385,2.3997597694396973
500,0,0,0,0,0.0,0,500,0.0,1.6494570970535278,1.6470035314559937
750,0,0,0,0,0.0,0,500,0.0,1.289827823638916,1.2891021966934204
1000,0,0,0,0,0.0,0,500,0.0,1.0239412784576416,1.02435564994812
1250,0,0,0,0,0.0,20,500,0.04,0.7328729033470154,0.7336094379425049
1500,0,0,0,0,0.0,120,500,0.24,0.4684203863143921,0.469225525856018
1750,0,0,0,0,0.0,357,500,0.714,0.3263834118843078,0.3265834748744964
2000,0,0,0,0,0.0,480,500,0.96,0.2602777779102325,0.2595576643943786
2250,0,0,0,0,0.0,500,500,1.0,0.2253951877355575,0.225859522819519
2500,0,0,0,0,0.0,500,500,1.0,0.2098861187696457,0.209607720375061
2750,0,0,0,0,0.0,500,500,1.0,0.2016714811325073,0.2017860263586044
3000,0,0,0,0,0.0,500,500,1.0,0.1966074705123901,0.1964882314205169
3250,0,0,0,0,0.0,500,500,1.0,0.1938638687133789,0.1940091550350189
3500,0,0,0,0,0.0,500,500,1.0,0.1920479834079742,0.1916392147541046
3750,0,0,0,0,0.0,500,500,1.0,0.1891020238399505,0.1895371377468109
4000,0,0,0,0,0.0,500,500,1.0,0.1890168935060501,0.1884900629520416
4250,0,0,0,0,0.0,500,500,1.0,0.1873552948236465,0.1877548843622207
4500,0,0,0,0,0.0,500,500,1.0,0.1874449104070663,0.1873455792665481
4750,0,0,0,0,0.0,500,500,1.0,0.1863696724176406,0.1865337044000625
5000,0,0,0,0,0.0,500,500,1.0,0.1858529597520828,0.1861470192670822
5250,0,0,0,0,0.0,500,500,1.0,0.1854936480522155,0.1857273876667022
5500,0,0,0,0,0.0,500,500,1.0,0.1852727681398391,0.1853072494268417
5750,0,0,0,0,0.0,500,500,1.0,0.1852880418300628,0.185190200805664
6000,0,0,0,0,0.0,500,500,1.0,0.1853954643011093,0.1853081881999969
6250,0,0,0,0,0.0,500,500,1.0,0.1848129630088806,0.1849223673343658
6500,0,0,0,0,0.0,500,500,1.0,0.1843778938055038,0.1848489791154861
6750,0,0,0,0,0.0,500,500,1.0,0.1843070536851883,0.1842355728149414
7000,0,0,0,0,0.0,500,500,1.0,0.1839048564434051,0.1841835379600525
7250,0,0,0,0,0.0,500,500,1.0,0.1839357614517212,0.1840733140707016
7500,0,0,0,0,0.0,500,500,1.0,0.1836973130702972,0.1835615485906601
7750,0,0,0,0,0.0,500,500,1.0,0.1832861006259918,0.183319091796875
8000,0,0,0,0,0.0,500,500,1.0,0.1836255639791488,0.1835628896951675
8250,0,0,0,0,0.0,500,500,1.0,0.1834693849086761,0.1835346668958664
8500,0,0,0,0,0.0,500,500,1.0,0.1831802427768707,0.1829834431409835
8750,0,0,0,0,0.0,500,500,1.0,0.1829696595668792,0.1829750388860702
9000,0,0,0,0,0.0,500,500,1.0,0.1830465942621231,0.1822519153356552
9250,0,0,0,0,0.0,500,500,1.0,0.1829640716314315,0.182795912027359
9500,0,0,0,0,0.0,500,500,1.0,0.1829031109809875,0.1831004470586776
9750,0,0,0,0,0.0,500,500,1.0,0.1825732737779617,0.1829087287187576
10000,0,0,0,0,0.0,500,500,1.0,0.1830332428216934,0.1831032633781433
10250,0,0,0,0,0.0,500,500,1.0,0.1825169622898101,0.1822450459003448
10500,0,0,0,0,0.0,500,500,1.0,0.1825267076492309,0.1826895326375961
10750,0,0,0,0,0.0,500,500,1.0,0.1821956485509872,0.1821707338094711
11000,0,0,0,0,0.0,500,500,1.0,0.1820538491010666,0.1825259029865265
11250,0,0,0,0,0.0,500,500,1.0,0.1823056936264038,0.1824752986431121
11500,0,0,0,0,0.0,500,500,1.0,0.1819236427545547,0.1821770668029785
11750,0,0,0,0,0.0,500,500,1.0,0.1821349710226059,0.1826200485229492
12000,0,0,0,0,0.0,500,500,1.0,0.1821158975362777,0.1822071820497512
12250,0,0,0,0,0.0,500,500,1.0,0.1819667816162109,0.1820772588253021
12500,0,0,0,0,0.0,500,500,1.0,0.1823266148567199,0.1821224242448806
12750,0,0,0,0,0.0,500,500,1.0,0.1818023324012756,0.1817718148231506
13000,0,0,0,0,0.0,500,500,1.0,0.1818380206823349,0.1816393285989761
13250,0,0,0,0,0.0,500,500,1.0,0.1813371479511261,0.181833878159523
13500,0,0,0,0,0.0,500,500,1.0,0.1817833483219146,0.1819652318954467
13750,0,0,0,0,0.0,500,500,1.0,0.1819687485694885,0.1816159635782241
14000,0,0,0,0,0.0,500,500,1.0,0.1816075146198272,0.1818135231733322
14250,0,0,0,0,0.0,500,500,1.0,0.1815481185913086,0.1818204373121261
14500,0,0,0,0,0.0,500,500,1.0,0.1814164370298385,0.1815176904201507
14750,0,0,0,0,0.0,500,500,1.0,0.1813382357358932,0.1815059334039688
15000,0,0,0,0,0.0,500,500,1.0,0.181446224451065,0.1818333119153976
15250,0,0,0,0,0.0,500,500,1.0,0.18192058801651,0.181374505162239
15500,0,0,0,0,0.0,500,500,1.0,0.1817085593938827,0.1813313364982605
15750,0,0,0,0,0.0,500,500,1.0,0.1810637861490249,0.1810939460992813
16000,0,0,0,0,0.0,500,500,1.0,0.1812357455492019,0.1814771145582199
16250,0,0,0,0,0.0,500,500,1.0,0.1814134567975998,0.1816821992397308
16500,0,0,0,0,0.0,500,500,1.0,0.1812535226345062,0.1811870783567428
16750,0,0,0,0,0.0,500,500,1.0,0.1812667101621627,0.1813041716814041
17000,0,0,0,0,0.0,500,500,1.0,0.1809661090373993,0.1813405007123947
17250,0,0,0,0,0.0,500,500,1.0,0.1816487908363342,0.1813229322433471
17500,0,0,0,0,0.0,500,500,1.0,0.180885374546051,0.1812861114740371
17750,0,0,0,0,0.0,500,500,1.0,0.1812043040990829,0.1812834739685058
18000,0,0,0,0,0.0,500,500,1.0,0.1816283166408538,0.1813481003046035
18250,0,0,0,0,0.0,500,500,1.0,0.1812151372432708,0.1811826080083847
18500,0,0,0,0,0.0,500,500,1.0,0.1811123788356781,0.1804469227790832
18750,0,0,0,0,0.0,500,500,1.0,0.1811503618955612,0.1811296790838241
19000,0,0,0,0,0.0,500,500,1.0,0.1809915155172348,0.1808939725160598
19250,0,0,0,0,0.0,500,500,1.0,0.1807605028152465,0.1807490140199661
19500,0,0,0,0,0.0,500,500,1.0,0.1810315698385238,0.1814516186714172
19750,0,0,0,0,0.0,500,500,1.0,0.1810890585184097,0.1810942888259887
20000,0,0,0,0,0.0,500,500,1.0,0.1813719123601913,0.1809145212173462
20250,0,0,0,0,0.0,500,500,1.0,0.1808619350194931,0.181343600153923
20500,0,0,0,0,0.0,500,500,1.0,0.1810135692358017,0.1810677647590637
20750,0,0,0,0,0.0,500,500,1.0,0.1805508434772491,0.1809590458869934
21000,0,0,0,0,0.0,500,500,1.0,0.1809510737657547,0.1808451116085052
21250,0,0,0,0,0.0,500,500,1.0,0.1812351644039154,0.1809802055358886
21500,0,0,0,0,0.0,500,500,1.0,0.1812967658042907,0.1805738061666488
21750,0,0,0,0,0.0,500,500,1.0,0.1811950355768203,0.1810538917779922
22000,0,0,0,0,0.0,500,500,1.0,0.1808204501867294,0.1812458932399749
22250,0,0,0,0,0.0,500,500,1.0,0.1809500157833099,0.1810661256313324
22500,0,0,0,0,0.0,500,500,1.0,0.1807759404182434,0.1810680031776428
22750,0,0,0,0,0.0,500,500,1.0,0.180664449930191,0.1807404309511184
23000,0,0,0,0,0.0,500,500,1.0,0.1810086071491241,0.1806834936141967
23250,0,0,0,0,0.0,500,500,1.0,0.1808690577745437,0.1806489825248718
23500,0,0,0,0,0.0,500,500,1.0,0.1806117445230484,0.1810236424207687
23750,0,0,0,0,0.0,500,500,1.0,0.1807417720556259,0.1805986911058426
24000,0,0,0,0,0.0,500,500,1.0,0.1806918680667877,0.1810923516750335
24250,0,0,0,0,0.0,500,500,1.0,0.1808861345052719,0.1808001697063446
24500,0,0,0,0,0.0,500,500,1.0,0.1808849573135376,0.181140124797821
24750,0,0,0,0,0.0,500,500,1.0,0.1807559579610824,0.1807335615158081
25000,0,0,0,0,0.0,500,500,1.0,0.180800050497055,0.1808060258626938
25250,0,0,0,0,0.0,500,500,1.0,0.1808261722326278,0.1807751059532165
25500,0,0,0,0,0.0,500,500,1.0,0.1804849952459335,0.1806338131427765
25750,0,0,0,0,0.0,500,500,1.0,0.1811663955450058,0.18067467212677
26000,0,0,0,0,0.0,500,500,1.0,0.1808033436536789,0.1810702085494995
26250,0,0,0,0,0.0,500,500,1.0,0.1812025606632232,0.1809532791376114
26500,0,0,0,0,0.0,500,500,1.0,0.1808221489191055,0.1809584647417068
26750,0,0,0,0,0.0,500,500,1.0,0.1807043403387069,0.1807334125041961
27000,0,0,0,0,0.0,500,500,1.0,0.1807115226984024,0.1807178556919098
27250,0,0,0,0,0.0,500,500,1.0,0.1805805563926696,0.1806394010782241
27500,0,0,0,0,0.0,500,500,1.0,0.1808695644140243,0.1813750118017196
27750,0,0,0,0,0.0,500,500,1.0,0.180758535861969,0.1810206919908523
28000,0,0,0,0,0.0,500,500,1.0,0.1806665360927581,0.1802586615085601
28250,0,0,0,0,0.0,500,500,1.0,0.1803203374147415,0.1808394640684127
28500,0,0,0,0,0.0,500,500,1.0,0.1808345019817352,0.1804095804691314
28750,0,0,0,0,0.0,500,500,1.0,0.1809025555849075,0.1809929311275482
29000,0,0,0,0,0.0,500,500,1.0,0.1808699965476989,0.1808327436447143
29250,0,0,0,0,0.0,500,500,1.0,0.1807625889778137,0.1806084066629409
29500,0,0,0,0,0.0,500,500,1.0,0.1809406727552414,0.1808637082576751
29750,0,0,0,0,0.0,500,500,1.0,0.1809304058551788,0.1806642860174179
30000,0,0,0,0,0.0,500,500,1.0,0.18050450086593628,0.18074865639209747
