iter,add_correct,add_total,sub_correct,sub_total,math_acc,facts_correct,facts_total,facts_acc,train_loss,val_loss
0,0,0,0,0,0.0,0,500,0.0,4.078258037567139,4.078103542327881
250,0,0,0,0,0.0,0,500,0.0,2.1743407249450684,2.172625064849853
500,0,0,0,0,0.0,0,500,0.0,1.3428689241409302,1.3411990404129028
750,0,0,0,0,0.0,0,500,0.0,0.9388608336448668,0.9385193586349488
1000,0,0,0,0,0.0,190,500,0.38,0.5940867066383362,0.5944033265113831
1250,0,0,0,0,0.0,390,500,0.78,0.3691846132278442,0.3696943521499634
1500,0,0,0,0,0.0,490,500,0.98,0.2750808596611023,0.2755027115345001
1750,0,0,0,0,0.0,490,500,0.98,0.2377792298793792,0.237734854221344
2000,0,0,0,0,0.0,490,500,0.98,0.2210026681423187,0.2209342420101165
2250,0,0,0,0,0.0,500,500,1.0,0.2118178158998489,0.2122068405151367
2500,0,0,0,0,0.0,490,500,0.98,0.2071922272443771,0.2072791159152984
2750,0,0,0,0,0.0,490,500,0.98,0.2027858793735504,0.2030457705259323
3000,0,0,0,0,0.0,490,500,0.98,0.200044959783554,0.2002449780702591
3250,0,0,0,0,0.0,490,500,0.98,0.1966762989759445,0.1967453062534332
3500,0,0,0,0,0.0,490,500,0.98,0.19565050303936,0.1953594535589218
3750,0,0,0,0,0.0,490,500,0.98,0.1931344270706176,0.1934184283018112
4000,0,0,0,0,0.0,500,500,1.0,0.1926491409540176,0.1922311633825302
4250,0,0,0,0,0.0,500,500,1.0,0.1913305073976516,0.1918549686670303
4500,0,0,0,0,0.0,500,500,1.0,0.1906908601522445,0.1906922757625579
4750,0,0,0,0,0.0,500,500,1.0,0.1894137412309646,0.1893931925296783
5000,0,0,0,0,0.0,500,500,1.0,0.188486635684967,0.1886013001203537
5250,0,0,0,0,0.0,500,500,1.0,0.1883877217769622,0.188705638051033
5500,0,0,0,0,0.0,490,500,0.98,0.1871866285800933,0.1871542483568191
5750,0,0,0,0,0.0,500,500,1.0,0.1873179823160171,0.1871284246444702
6000,0,0,0,0,0.0,490,500,0.98,0.1870012730360031,0.1868001222610473
6250,0,0,0,0,0.0,500,500,1.0,0.1862162202596664,0.1862399876117706
6500,0,0,0,0,0.0,490,500,0.98,0.185761272907257,0.1862226873636245
6750,0,0,0,0,0.0,500,500,1.0,0.1857331097126007,0.1854992061853408
7000,0,0,0,0,0.0,490,500,0.98,0.1849494874477386,0.1851433217525482
7250,0,0,0,0,0.0,500,500,1.0,0.1850346624851226,0.1853291541337967
7500,0,0,0,0,0.0,490,500,0.98,0.1844914108514785,0.1843152493238449
7750,0,0,0,0,0.0,500,500,1.0,0.184214100241661,0.1842706650495529
8000,0,0,0,0,0.0,490,500,0.98,0.184694617986679,0.1845161020755767
8250,0,0,0,0,0.0,500,500,1.0,0.1841385513544082,0.1842223703861236
8500,0,0,0,0,0.0,500,500,1.0,0.1839749962091446,0.1837851852178573
8750,0,0,0,0,0.0,500,500,1.0,0.1838576644659042,0.1836525350809097
9000,0,0,0,0,0.0,500,500,1.0,0.1838993579149246,0.1831069588661193
9250,0,0,0,0,0.0,490,500,0.98,0.1834121644496917,0.1832449287176132
9500,0,0,0,0,0.0,490,500,0.98,0.1838511675596237,0.1840004324913025
9750,0,0,0,0,0.0,500,500,1.0,0.1828201860189438,0.1831334233283996
10000,0,0,0,0,0.0,500,500,1.0,0.18326997756958,0.1833889633417129
10250,0,0,0,0,0.0,500,500,1.0,0.1831483095884323,0.1828347146511078
10500,0,0,0,0,0.0,500,500,1.0,0.1830776631832122,0.1832194924354553
10750,0,0,0,0,0.0,490,500,0.98,0.1829422563314438,0.1829384565353393
11000,0,0,0,0,0.0,500,500,1.0,0.1823128908872604,0.1827818751335144
11250,0,0,0,0,0.0,500,500,1.0,0.1825868040323257,0.1828742027282714
11500,0,0,0,0,0.0,500,500,1.0,0.1822155565023422,0.1824643760919571
11750,0,0,0,0,0.0,500,500,1.0,0.1821316182613372,0.1826686412096023
12000,0,0,0,0,0.0,490,500,0.98,0.1821401268243789,0.1822506785392761
12250,0,0,0,0,0.0,500,500,1.0,0.182289257645607,0.1823337525129318
12500,0,0,0,0,0.0,490,500,0.98,0.1826608031988144,0.1824509501457214
12750,0,0,0,0,0.0,490,500,0.98,0.1817150712013244,0.1817391961812973
13000,0,0,0,0,0.0,490,500,0.98,0.1819903552532196,0.1818279474973678
13250,0,0,0,0,0.0,500,500,1.0,0.1815806776285171,0.1820639818906784
13500,0,0,0,0,0.0,490,500,0.98,0.181833878159523,0.1819333136081695
13750,0,0,0,0,0.0,500,500,1.0,0.1820236146450042,0.1816235333681106
14000,0,0,0,0,0.0,500,500,1.0,0.1815394163131714,0.1816872209310531
14250,0,0,0,0,0.0,500,500,1.0,0.1816171258687973,0.1818321943283081
14500,0,0,0,0,0.0,500,500,1.0,0.1815518587827682,0.1816337257623672
14750,0,0,0,0,0.0,500,500,1.0,0.1812753677368164,0.1814175546169281
15000,0,0,0,0,0.0,490,500,0.98,0.1815052777528762,0.181922361254692
15250,0,0,0,0,0.0,490,500,0.98,0.1819607764482498,0.181522324681282
15500,0,0,0,0,0.0,500,500,1.0,0.1815956532955169,0.181145578622818
15750,0,0,0,0,0.0,490,500,0.98,0.1811902970075607,0.1811898797750473
