iter,add_correct,add_total,sub_correct,sub_total,math_acc,facts_correct,facts_total,facts_acc,train_loss,val_loss
0,0,910,0,910,0.0,0,0,0,2.853680372238159,2.853668451309204
250,0,910,15,910,0.0082417582417582,0,0,0,1.871160626411438,1.8705687522888184
500,90,910,90,910,0.0989010989010989,0,0,0,1.062031865119934,1.062079668045044
750,90,910,90,910,0.0989010989010989,0,0,0,0.9995994567871094,0.9993747472763062
1000,125,910,90,910,0.1181318681318681,0,0,0,0.979967474937439,0.9797019362449646
1250,235,910,110,910,0.1895604395604395,0,0,0,0.935501992702484,0.9360845685005188
1500,416,910,117,910,0.2928571428571428,0,0,0,0.9141741991043092,0.9147933125495912
1750,336,910,205,910,0.2972527472527472,0,0,0,0.8950990438461304,0.8954898118972778
2000,633,910,249,910,0.4846153846153846,0,0,0,0.8835347890853882,0.8838890194892883
2250,703,910,232,910,0.5137362637362637,0,0,0,0.8771199584007263,0.8769267797470093
2500,638,910,345,910,0.5401098901098901,0,0,0,0.8667660355567932,0.867605984210968
2750,670,910,273,910,0.5181318681318682,0,0,0,0.8581832647323608,0.8582818508148193
3000,806,910,445,910,0.6873626373626374,0,0,0,0.8482715487480164,0.8491165041923523
3250,800,910,495,910,0.7115384615384616,0,0,0,0.843727707862854,0.8433480858802795
3500,760,910,474,910,0.6780219780219781,0,0,0,0.8404489159584045,0.8399597406387329
3750,784,910,559,910,0.737912087912088,0,0,0,0.8373754024505615,0.8368633389472961
4000,817,910,622,910,0.7906593406593406,0,0,0,0.8244602680206299,0.8250091671943665
4250,786,910,665,910,0.7972527472527473,0,0,0,0.8252249956130981,0.824843168258667
4500,724,910,581,910,0.717032967032967,0,0,0,0.8240644335746765,0.8235654234886169
4750,798,910,633,910,0.7862637362637362,0,0,0,0.8238856792449951,0.8227832317352295
5000,720,910,709,910,0.7851648351648352,0,0,0,0.819153368473053,0.8195643424987793
5250,689,910,556,910,0.6840659340659341,0,0,0,0.8385860323905945,0.8388963341712952
5500,716,910,654,910,0.7527472527472527,0,0,0,0.8214051723480225,0.8207910060882568
5750,824,910,683,910,0.828021978021978,0,0,0,0.8134733438491821,0.8140604496002197
6000,700,910,520,910,0.6703296703296703,0,0,0,0.8281087279319763,0.8283416032791138
6250,680,910,554,910,0.6780219780219781,0,0,0,0.8420273661613464,0.8416718244552612
6500,800,910,676,910,0.810989010989011,0,0,0,0.8153402209281921,0.8160672783851624
6750,847,910,700,910,0.85,0,0,0,0.8142505884170532,0.8142406940460205
7000,780,910,604,910,0.7604395604395604,0,0,0,0.8156476020812988,0.8161402940750122
7250,734,910,509,910,0.682967032967033,0,0,0,0.8348424434661865,0.8346573114395142
7500,760,910,714,910,0.8098901098901099,0,0,0,0.8129022121429443,0.8122043609619141
7750,695,910,681,910,0.756043956043956,0,0,0,0.8190653324127197,0.8188455104827881
8000,763,910,723,910,0.8164835164835165,0,0,0,0.8086752891540527,0.8089651465415955
8250,880,910,723,910,0.8807692307692307,0,0,0,0.802847683429718,0.8039320111274719
8500,781,910,693,910,0.8098901098901099,0,0,0,0.8051493763923645,0.8053063154220581
8750,804,910,710,910,0.8318681318681319,0,0,0,0.8108833432197571,0.8115872740745544
9000,835,910,713,910,0.8505494505494505,0,0,0,0.8066368699073792,0.8061902523040771
9250,709,910,699,910,0.7736263736263737,0,0,0,0.8115849494934082,0.8125289082527161
9500,886,910,780,910,0.9153846153846154,0,0,0,0.8024168610572815,0.8017863631248474
9750,876,910,673,910,0.8510989010989011,0,0,0,0.7988641858100891,0.799543559551239
10000,762,910,772,910,0.8428571428571429,0,0,0,0.8052923083305359,0.8052269816398621
10250,846,910,693,910,0.8456043956043956,0,0,0,0.7954692840576172,0.7943554520606995
10500,769,910,742,910,0.8302197802197803,0,0,0,0.797670304775238,0.7984786033630371
10750,795,910,686,910,0.8137362637362637,0,0,0,0.8102211952209473,0.8111090064048767
11000,834,910,770,910,0.8813186813186813,0,0,0,0.7969894409179688,0.7959589958190918
11250,657,910,749,910,0.7725274725274726,0,0,0,0.8044202923774719,0.8053909540176392
11500,737,910,796,910,0.8423076923076923,0,0,0,0.7973412871360779,0.7974927425384521
11750,885,910,754,910,0.9005494505494506,0,0,0,0.7961703538894653,0.795950710773468
12000,826,910,725,910,0.8521978021978022,0,0,0,0.7966269850730896,0.7966822981834412
12250,866,910,791,910,0.9104395604395604,0,0,0,0.7888919711112976,0.7889791131019592
