iter,add_correct,add_total,sub_correct,sub_total,math_acc,facts_correct,facts_total,facts_acc,train_loss,val_loss
0,0,910,0,910,0.0,0,0,0,3.0427134037017822,3.042942523956299
250,0,910,0,910,0.0,0,0,0,2.7692675590515137,2.769761085510254
500,0,910,0,910,0.0,0,0,0,2.283791303634644,2.2848660945892334
750,0,910,20,910,0.0109890109890109,0,0,0,1.706516146659851,1.7068955898284912
1000,10,910,87,910,0.0532967032967032,0,0,0,1.3662214279174805,1.3673133850097656
1250,10,910,87,910,0.0532967032967032,0,0,0,1.1794652938842771,1.1797456741333008
1500,10,910,99,910,0.0598901098901098,0,0,0,1.0856654644012451,1.0851176977157593
1750,10,910,77,910,0.0478021978021978,0,0,0,1.043034315109253,1.0428615808486938
2000,62,910,96,910,0.0868131868131868,0,0,0,1.0135986804962158,1.0142428874969482
2250,90,910,76,910,0.0912087912087912,0,0,0,0.9963008165359496,0.996681272983551
2500,90,910,75,910,0.0906593406593406,0,0,0,0.9859687685966492,0.9859831929206848
2750,90,910,88,910,0.0978021978021978,0,0,0,0.9764020442962646,0.9763264656066896
3000,90,910,80,910,0.0934065934065934,0,0,0,0.9673792123794556,0.9680177569389344
3250,83,910,82,910,0.0906593406593406,0,0,0,0.9584216475486756,0.9585734605789183
3500,107,910,110,910,0.1192307692307692,0,0,0,0.9497923254966736,0.9493283033370972
3750,101,910,100,910,0.1104395604395604,0,0,0,0.9430416226387024,0.9421908855438232
4000,117,910,107,910,0.123076923076923,0,0,0,0.934522807598114,0.934289574623108
4250,154,910,126,910,0.1538461538461538,0,0,0,0.9270644187927246,0.9266652464866638
4500,175,910,148,910,0.1774725274725274,0,0,0,0.9199355840682985,0.9201650023460388
4750,220,910,173,910,0.2159340659340659,0,0,0,0.91194748878479,0.9126431345939636
5000,253,910,186,910,0.2412087912087912,0,0,0,0.9058324694633484,0.9071099162101746
5250,277,910,167,910,0.2439560439560439,0,0,0,0.8991094827651978,0.8995887041091919
5500,311,910,174,910,0.2664835164835165,0,0,0,0.8922521471977234,0.8926394581794739
5750,344,910,212,910,0.3054945054945055,0,0,0,0.8856895565986633,0.8852478861808777
6000,336,910,270,910,0.3329670329670329,0,0,0,0.879050612449646,0.8794463276863098
6250,337,910,280,910,0.339010989010989,0,0,0,0.8745040893554688,0.8742868900299072
6500,348,910,321,910,0.3675824175824176,0,0,0,0.8693827986717224,0.8690193891525269
6750,381,910,356,910,0.4049450549450549,0,0,0,0.863586962223053,0.8635768890380859
7000,391,910,383,910,0.4252747252747252,0,0,0,0.8582626581192017,0.8586774468421936
7250,428,910,429,910,0.4708791208791208,0,0,0,0.8518564105033875,0.8518055081367493
7500,435,910,463,910,0.4934065934065934,0,0,0,0.8473179340362549,0.8473857045173645
7750,460,910,480,910,0.5164835164835165,0,0,0,0.8419778943061829,0.8417786955833435
8000,491,910,494,910,0.5412087912087912,0,0,0,0.8372552990913391,0.8369632959365845
8250,520,910,494,910,0.5571428571428572,0,0,0,0.8319475650787354,0.8315327167510986
8500,523,910,496,910,0.5598901098901099,0,0,0,0.8274549245834351,0.8269012570381165
8750,567,910,533,910,0.6043956043956044,0,0,0,0.821603000164032,0.8215498924255371
9000,583,910,560,910,0.628021978021978,0,0,0,0.8168045878410339,0.8157370090484619
9250,575,910,584,910,0.6368131868131868,0,0,0,0.8121402263641357,0.8118105530738831
9500,606,910,624,910,0.6758241758241759,0,0,0,0.8069513440132141,0.8067300319671631
9750,633,910,663,910,0.7120879120879121,0,0,0,0.8005316257476807,0.8003044128417969
10000,631,910,661,910,0.7098901098901099,0,0,0,0.7957502007484436,0.7955825924873352
10250,634,910,718,910,0.7428571428571429,0,0,0,0.7914308905601501,0.7909379601478577
10500,663,910,710,910,0.7543956043956044,0,0,0,0.7849922776222229,0.7860670685768127
10750,659,910,697,910,0.7450549450549451,0,0,0,0.7808593511581421,0.7806842923164368
11000,712,910,750,910,0.8032967032967033,0,0,0,0.7733675241470337,0.7733252048492432
11250,710,910,746,910,0.8,0,0,0,0.7680627703666687,0.7666814923286438
11500,718,910,750,910,0.8065934065934066,0,0,0,0.761698305606842,0.7623530626296997
11750,727,910,745,910,0.8087912087912088,0,0,0,0.754798173904419,0.7537413835525513
12000,745,910,754,910,0.8236263736263736,0,0,0,0.7476038336753845,0.7474316954612732
12250,753,910,772,910,0.8379120879120879,0,0,0,0.7407788038253784,0.7401943802833557
12500,746,910,777,910,0.8368131868131868,0,0,0,0.7331200242042542,0.7334511280059814
12750,777,910,794,910,0.8631868131868132,0,0,0,0.7253235578536987,0.7244111895561218
13000,780,910,795,910,0.8653846153846154,0,0,0,0.7197393774986267,0.7186914086341858
13250,794,910,815,910,0.884065934065934,0,0,0,0.7117316722869873,0.7112680673599243
13500,825,910,804,910,0.8950549450549451,0,0,0,0.7044791579246521,0.7038121819496155
13750,851,910,814,910,0.9148351648351648,0,0,0,0.6973922848701477,0.6970762610435486
14000,860,910,840,910,0.934065934065934,0,0,0,0.6898456811904907,0.689557671546936
14250,860,910,845,910,0.9368131868131868,0,0,0,0.6816375255584717,0.681774377822876
14500,880,910,851,910,0.951098901098901,0,0,0,0.6756604909896851,0.6754013299942017
14750,880,910,870,910,0.9615384615384616,0,0,0,0.6679294109344482,0.6675938367843628
15000,880,910,890,910,0.9725274725274724,0,0,0,0.6622352004051208,0.6621453166007996
15250,880,910,890,910,0.9725274725274724,0,0,0,0.6550169587135315,0.6546575427055359
15500,890,910,890,910,0.978021978021978,0,0,0,0.6484259963035583,0.6487648487091064
15750,890,910,890,910,0.978021978021978,0,0,0,0.6426038146018982,0.6426604390144348
16000,890,910,890,910,0.978021978021978,0,0,0,0.6372470259666443,0.6377691030502319
16250,890,910,890,910,0.978021978021978,0,0,0,0.6307523250579834,0.6309932470321655
16500,890,910,890,910,0.978021978021978,0,0,0,0.6259099841117859,0.6255596280097961
16750,890,910,890,910,0.978021978021978,0,0,0,0.620271623134613,0.6200566291809082
17000,890,910,890,910,0.978021978021978,0,0,0,0.6149891018867493,0.6144031882286072
17250,890,910,890,910,0.978021978021978,0,0,0,0.6104058027267456,0.6104876399040222
17500,890,910,890,910,0.978021978021978,0,0,0,0.6063047051429749,0.6059772372245789
17750,890,910,890,910,0.978021978021978,0,0,0,0.6017044186592102,0.6013165712356567
18000,890,910,890,910,0.978021978021978,0,0,0,0.5973957777023315,0.5977594256401062
18250,890,910,890,910,0.978021978021978,0,0,0,0.5935283899307251,0.5933970808982849
18500,890,910,890,910,0.978021978021978,0,0,0,0.5901409983634949,0.5900747776031494
18750,890,910,890,910,0.978021978021978,0,0,0,0.5866782069206238,0.5867338180541992
19000,890,910,890,910,0.978021978021978,0,0,0,0.5832614302635193,0.5837364196777344
19250,890,910,890,910,0.978021978021978,0,0,0,0.5805211067199707,0.5796766877174377
19500,890,910,890,910,0.978021978021978,0,0,0,0.5773820281028748,0.5774521231651306
19750,890,910,890,910,0.978021978021978,0,0,0,0.5749037861824036,0.5749783515930176
20000,890,910,890,910,0.978021978021978,0,0,0,0.5726882219314575,0.5725432634353638
20250,890,910,890,910,0.978021978021978,0,0,0,0.569790244102478,0.5707571506500244
20500,890,910,890,910,0.978021978021978,0,0,0,0.5685650110244751,0.5684967041015625
20750,890,910,890,910,0.978021978021978,0,0,0,0.5661776065826416,0.5665651559829712
21000,890,910,890,910,0.978021978021978,0,0,0,0.5647563338279724,0.5648311972618103
21250,890,910,890,910,0.978021978021978,0,0,0,0.5626402497291565,0.5633273124694824
21500,890,910,890,910,0.978021978021978,0,0,0,0.5617700815200806,0.5617594718933105
21750,890,910,890,910,0.978021978021978,0,0,0,0.560194730758667,0.5600343942642212
