model_folder,ckpt_name,n_emb,addition_score,subtraction_score,facts_score,combined_score
facts_mini_14_final,ckpt_best_facts.pt,14,0.0,0.0,0.082,0.082
facts_mini_28_final,ckpt_best_facts.pt,28,0.0,0.0,1.0,1.0
facts_mini_56_final,ckpt_best_facts.pt,56,0.0,0.0,1.0,1.0
facts_mlt_final,ckpt_best_facts.pt,384,0.0,0.0,1.0,1.0
math_mini_14_final,ckpt_best_math.pt,14,1.0,1.0,0.0,1.0
math_mini_28_final,ckpt_best_math.pt,28,0.978021978021978,0.978021978021978,0.0,0.978021978021978
math_mini_56_final,ckpt_best_math.pt,56,0.978021978021978,0.978021978021978,0.0,0.978021978021978
math_mlt_final,ckpt_best_math.pt,384,0.978021978021978,0.978021978021978,0.0,0.978021978021978
both_mini_14_final,ckpt_best_combined.pt,14,0.3263736263736264,0.3824175824175824,0.02,0.2823275862068966
both_mini_28_final,ckpt_best_combined.pt,28,0.945054945054945,0.967032967032967,0.884,0.9405172413793104
both_mini_56_final,ckpt_best_combined.pt,56,0.978021978021978,0.978021978021978,1.0,0.9827586206896551
both_mlt_final,ckpt_best_combined.pt,384,0.978021978021978,0.978021978021978,1.0,0.9827586206896551
